field_1,Grano,Año,Mes,Origen,Destino,Cantidad,EsFinal,Cantidades
"5531",Maiz,"2015","10",Ciudad Autónoma de Buenos Aires,Zona 17,"5.8299999999999994e-05",True,
"5532",Maiz,"2018","6",Ciudad Autónoma de Buenos Aires,Zona 18,"0.00105368",True,
"5533",Maiz,"2019","7",Ciudad Autónoma de Buenos Aires,Zona 18,"0.00039106",True,
"5534",Maiz,"2018","10",Ciudad Autónoma de Buenos Aires,Zona 18,"0.00019",True,
"5535",Maiz,"2019","2",Ciudad Autónoma de Buenos Aires,Zona 2,"0.00024",True,
"5536",Maiz,"2016","3",Ciudad Autónoma de Buenos Aires,Zona 3,"0.00017887",True,
"5537",Maiz,"2016","4",Ciudad Autónoma de Buenos Aires,Zona 3,"0.0001844",True,
"5538",Maiz,"2020","4",Ciudad Autónoma de Buenos Aires,Zona 3,"0.00011338",True,
"5539",Maiz,"2016","5",Ciudad Autónoma de Buenos Aires,Zona 3,"0.00019479",True,
"5540",Maiz,"2016","9",Ciudad Autónoma de Buenos Aires,Zona 3,"0.00034648000000000003",True,
"5541",Maiz,"2016","10",Ciudad Autónoma de Buenos Aires,Zona 3,"0.00012723",True,
"5542",Maiz,"2016","11",Ciudad Autónoma de Buenos Aires,Zona 3,"9.104000000000001e-05",True,
"5543",Maiz,"2015","12",Ciudad Autónoma de Buenos Aires,Zona 3,"0.00015371000000000002",True,
"5544",Maiz,"2016","12",Ciudad Autónoma de Buenos Aires,Zona 3,"0.00014774000000000002",True,
"5545",Maiz,"2018","1",Ciudad Autónoma de Buenos Aires,Zona 4,"0.0003",True,
"5546",Maiz,"2019","5",Ciudad Autónoma de Buenos Aires,Zona 4,"0.00019234",True,
"5547",Maiz,"2018","1",Ciudad Autónoma de Buenos Aires,Zona 5,"0.0006",True,
"5548",Maiz,"2017","2",Ciudad Autónoma de Buenos Aires,Zona 5,"9e-05",True,
"5549",Maiz,"2019","2",Ciudad Autónoma de Buenos Aires,Zona 5,"0.003",True,
"5550",Maiz,"2018","3",Ciudad Autónoma de Buenos Aires,Zona 5,"0.00102",True,
"5551",Maiz,"2019","3",Ciudad Autónoma de Buenos Aires,Zona 5,"0.00015",True,
"5552",Maiz,"2018","4",Ciudad Autónoma de Buenos Aires,Zona 5,"0.0003",True,
"5553",Maiz,"2017","6",Ciudad Autónoma de Buenos Aires,Zona 5,"0.0003",True,
"5554",Maiz,"2016","7",Ciudad Autónoma de Buenos Aires,Zona 5,"0.00021",True,
"5555",Maiz,"2017","7",Ciudad Autónoma de Buenos Aires,Zona 5,"0.0003",True,
"5556",Maiz,"2015","8",Ciudad Autónoma de Buenos Aires,Zona 5,"0.0005",True,
"5557",Maiz,"2016","8",Ciudad Autónoma de Buenos Aires,Zona 5,"3e-05",True,
"5558",Maiz,"2016","10",Ciudad Autónoma de Buenos Aires,Zona 5,"0.00018",True,
"5559",Maiz,"2017","10",Ciudad Autónoma de Buenos Aires,Zona 5,"0.0006",True,
"5560",Maiz,"2015","11",Ciudad Autónoma de Buenos Aires,Zona 5,"9e-05",True,
"5561",Maiz,"2016","11",Ciudad Autónoma de Buenos Aires,Zona 5,"0.00054",True,
"5562",Maiz,"2017","11",Ciudad Autónoma de Buenos Aires,Zona 5,"0.000251",True,
"5563",Maiz,"2016","12",Ciudad Autónoma de Buenos Aires,Zona 5,"0.00242",True,
"5564",Maiz,"2017","12",Ciudad Autónoma de Buenos Aires,Zona 5,"0.0009",True,
"5565",Maiz,"2018","12",Ciudad Autónoma de Buenos Aires,Zona 5,"0.00033",True,
"5566",Maiz,"2017","4",Ciudad Autónoma de Buenos Aires,Zona 6,"0.000275",True,
"5567",Maiz,"2019","4",Ciudad Autónoma de Buenos Aires,Zona 6,"0.0039",True,
"5568",Maiz,"2020","4",Ciudad Autónoma de Buenos Aires,Zona 6,"0.005",True,
"5569",Maiz,"2017","5",Ciudad Autónoma de Buenos Aires,Zona 6,"0.0005601699999999999",True,
"5570",Maiz,"2019","5",Ciudad Autónoma de Buenos Aires,Zona 6,"0.01181",True,
"5571",Maiz,"2015","6",Ciudad Autónoma de Buenos Aires,Zona 6,"0.00034506",True,
"5572",Maiz,"2017","7",Ciudad Autónoma de Buenos Aires,Zona 6,"1.278e-05",True,
"5573",Maiz,"2019","11",Ciudad Autónoma de Buenos Aires,Zona 6,"8.928e-05",True,
"5574",Maiz,"2017","4",Ciudad Autónoma de Buenos Aires,Zona 7,"0.00022",True,
"5575",Maiz,"2020","4",Ciudad Autónoma de Buenos Aires,Zona 7,"0.001",True,
"5576",Maiz,"2019","5",Ciudad Autónoma de Buenos Aires,Zona 7,"0.001",True,
"5577",Maiz,"2020","5",Ciudad Autónoma de Buenos Aires,Zona 7,"0.001",True,
"5578",Maiz,"2019","7",Ciudad Autónoma de Buenos Aires,Zona 7,"0.00162783",True,
"5579",Maiz,"2020","7",Ciudad Autónoma de Buenos Aires,Zona 7,"0.00322",True,
"5580",Maiz,"2019","8",Ciudad Autónoma de Buenos Aires,Zona 7,"0.00399",True,
"5581",Maiz,"2017","9",Ciudad Autónoma de Buenos Aires,Zona 7,"0.0005",True,
"5582",Maiz,"2018","9",Ciudad Autónoma de Buenos Aires,Zona 7,"0.0003",True,
"5583",Maiz,"2018","10",Ciudad Autónoma de Buenos Aires,Zona 7,"0.00036836000000000003",True,
"5584",Maiz,"2019","10",Ciudad Autónoma de Buenos Aires,Zona 7,"0.0004",True,
"5585",Maiz,"2016","3",Ciudad Autónoma de Buenos Aires,Zona 8,"0.00033536",True,
"5586",Maiz,"2015","4",Ciudad Autónoma de Buenos Aires,Zona 8,"0.0002",True,
"5587",Maiz,"2017","4",Ciudad Autónoma de Buenos Aires,Zona 8,"2.786e-05",True,
"5588",Maiz,"2019","4",Ciudad Autónoma de Buenos Aires,Zona 8,"0.0001044",True,
"5589",Maiz,"2020","4",Ciudad Autónoma de Buenos Aires,Zona 8,"0.00046",True,
"5590",Maiz,"2016","5",Ciudad Autónoma de Buenos Aires,Zona 8,"0.00110972",True,
"5591",Maiz,"2016","6",Ciudad Autónoma de Buenos Aires,Zona 8,"2.999e-05",True,
"5592",Maiz,"2016","7",Ciudad Autónoma de Buenos Aires,Zona 8,"0.0018869400000000001",True,
"5593",Maiz,"2018","7",Ciudad Autónoma de Buenos Aires,Zona 8,"0.00010854",True,
"5594",Maiz,"2019","7",Ciudad Autónoma de Buenos Aires,Zona 8,"7e-05",True,
"5595",Maiz,"2020","7",Ciudad Autónoma de Buenos Aires,Zona 8,"0.0017",True,
"5596",Maiz,"2015","8",Ciudad Autónoma de Buenos Aires,Zona 8,"0.00420757",True,
"5597",Maiz,"2016","8",Ciudad Autónoma de Buenos Aires,Zona 8,"0.00041733",True,
"5598",Maiz,"2018","8",Ciudad Autónoma de Buenos Aires,Zona 8,"0.00051042",True,
"5599",Maiz,"2019","8",Ciudad Autónoma de Buenos Aires,Zona 8,"0.0001",True,
"5600",Maiz,"2020","8",Ciudad Autónoma de Buenos Aires,Zona 8,"7.703e-05",True,
"5601",Maiz,"2016","10",Ciudad Autónoma de Buenos Aires,Zona 8,"0.00082024",True,
"5602",Maiz,"2015","11",Ciudad Autónoma de Buenos Aires,Zona 8,"0.00015695999999999996",True,
"5603",Maiz,"2018","11",Ciudad Autónoma de Buenos Aires,Zona 8,"3.06e-05",True,
"5604",Maiz,"2019","11",Ciudad Autónoma de Buenos Aires,Zona 8,"0.00017811000000000001",True,
"5605",Maiz,"2015","12",Ciudad Autónoma de Buenos Aires,Zona 8,"0.00054864",True,
"5606",Maiz,"2017","12",Ciudad Autónoma de Buenos Aires,Zona 8,"7.703e-05",True,
"5607",Maiz,"2019","12",Ciudad Autónoma de Buenos Aires,Zona 8,"0.0013208599999999999",True,
"5608",Maiz,"2017","4",Ciudad Autónoma de Buenos Aires,Zona 9,"0.0004997",True,
"5609",Maiz,"2015","7",Ciudad Autónoma de Buenos Aires,Zona 9,"0.001",True,
"5610",Maiz,"2015","8",Ciudad Autónoma de Buenos Aires,Zona 9,"0.00012417",True,
"5611",Maiz,"2016","8",Ciudad Autónoma de Buenos Aires,Zona 9,"0.00019653",True,
"5612",Maiz,"2017","8",Ciudad Autónoma de Buenos Aires,Zona 9,"0.00021004",True,
"5613",Maiz,"2017","9",Ciudad Autónoma de Buenos Aires,Zona 9,"0.001",True,
"5614",Maiz,"2016","11",Ciudad Autónoma de Buenos Aires,Zona 9,"4.368e-05",True,
"5615",Maiz,"2019","12",Ciudad Autónoma de Buenos Aires,Zona 9,"0.0006",True,
"5616",Soja,"2018","1",Ciudad Autónoma de Buenos Aires,B.Blanca,"3e-05",True,
"5617",Soja,"2019","1",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.00021",True,
"5618",Soja,"2018","2",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.00084939",True,
"5619",Soja,"2019","2",Ciudad Autónoma de Buenos Aires,B.Blanca,"1.598e-05",True,
"5620",Soja,"2017","4",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.0003",True,
"5621",Soja,"2016","5",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.00181",True,
"5622",Soja,"2017","5",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.0003",True,
"5623",Soja,"2018","5",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.0009300599999999999",True,
"5624",Soja,"2019","5",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.0009",True,
"5625",Soja,"2020","5",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.0115",True,
"5626",Soja,"2015","6",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.00045",True,
"5627",Soja,"2016","6",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.00038866000000000004",True,
"5628",Soja,"2018","6",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.00195",True,
"5629",Soja,"2019","6",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.00898",True,
"5630",Soja,"2015","7",Ciudad Autónoma de Buenos Aires,B.Blanca,"9e-05",True,
"5631",Soja,"2016","7",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.000441",True,
"5632",Soja,"2017","7",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.00033",True,
"5633",Soja,"2018","7",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.00019203999999999998",True,
"5634",Soja,"2019","7",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.02045",True,
"5635",Soja,"2020","7",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.00104",True,
"5636",Soja,"2015","8",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.00018",True,
"5637",Soja,"2018","8",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.003",True,
"5638",Soja,"2019","8",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.00036",True,
"5639",Soja,"2015","9",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.00012",True,
"5640",Soja,"2016","9",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.00063",True,
"5641",Soja,"2017","9",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.00227",True,
"5642",Soja,"2018","9",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.000565",True,
"5643",Soja,"2019","9",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.00743322",True,
"5644",Soja,"2015","10",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.00072629",True,
"5645",Soja,"2016","10",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.00042919",True,
"5646",Soja,"2017","10",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.01012",True,
"5647",Soja,"2018","10",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.0098746",True,
"5648",Soja,"2019","10",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.025378",True,
"5649",Soja,"2015","11",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.001",True,
"5650",Soja,"2016","11",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.00019219999999999998",True,
"5651",Soja,"2017","11",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.00777",True,
"5652",Soja,"2018","11",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.006705",True,
"5653",Soja,"2019","11",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.00718",True,
"5654",Soja,"2015","12",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.00013596000000000002",True,
"5655",Soja,"2016","12",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.00035",True,
"5656",Soja,"2017","12",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.000625",True,
"5657",Soja,"2018","12",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.00825",True,
"5658",Soja,"2019","12",Ciudad Autónoma de Buenos Aires,B.Blanca,"0.0059851999999999995",True,
"5659",Soja,"2017","2",Ciudad Autónoma de Buenos Aires,Bs As,"3.359e-05",True,
"5660",Soja,"2016","5",Ciudad Autónoma de Buenos Aires,Bs As,"6e-05",True,
"5661",Soja,"2016","11",Ciudad Autónoma de Buenos Aires,Bs As,"0.0005",True,
"5662",Soja,"2019","4",Ciudad Autónoma de Buenos Aires,Cordoba,"5.16e-05",True,
"5663",Soja,"2019","6",Ciudad Autónoma de Buenos Aires,Cordoba,"0.0007965",True,
"5664",Soja,"2018","7",Ciudad Autónoma de Buenos Aires,Cordoba,"2.211e-05",True,
"5665",Soja,"2019","7",Ciudad Autónoma de Buenos Aires,Cordoba,"3.75e-05",True,
"5666",Soja,"2018","9",Ciudad Autónoma de Buenos Aires,Cordoba,"5.283e-05",True,
"5667",Soja,"2017","2",Ciudad Autónoma de Buenos Aires,Quequen,"0.0004",True,
"5668",Soja,"2019","2",Ciudad Autónoma de Buenos Aires,Quequen,"1.5740000000000002e-05",True,
"5669",Soja,"2017","3",Ciudad Autónoma de Buenos Aires,Quequen,"0.00018",True,
"5670",Soja,"2019","4",Ciudad Autónoma de Buenos Aires,Quequen,"8.8e-06",True,
"5671",Soja,"2016","5",Ciudad Autónoma de Buenos Aires,Quequen,"0.002043",True,
"5672",Soja,"2017","5",Ciudad Autónoma de Buenos Aires,Quequen,"0.001965",True,
"5673",Soja,"2018","5",Ciudad Autónoma de Buenos Aires,Quequen,"0.00312",True,
"5674",Soja,"2019","5",Ciudad Autónoma de Buenos Aires,Quequen,"0.00268",True,
"5675",Soja,"2020","5",Ciudad Autónoma de Buenos Aires,Quequen,"0.00012",True,
"5676",Soja,"2016","6",Ciudad Autónoma de Buenos Aires,Quequen,"0.00042",True,
"5677",Soja,"2017","6",Ciudad Autónoma de Buenos Aires,Quequen,"0.0002",True,
"5678",Soja,"2018","6",Ciudad Autónoma de Buenos Aires,Quequen,"0.0013",True,
"5679",Soja,"2019","6",Ciudad Autónoma de Buenos Aires,Quequen,"0.00483",True,
"5680",Soja,"2020","6",Ciudad Autónoma de Buenos Aires,Quequen,"0.001",True,
"5681",Soja,"2015","7",Ciudad Autónoma de Buenos Aires,Quequen,"0.00666971",True,
"5682",Soja,"2016","7",Ciudad Autónoma de Buenos Aires,Quequen,"0.00374",True,
"5683",Soja,"2017","7",Ciudad Autónoma de Buenos Aires,Quequen,"0.0013",True,
"5684",Soja,"2018","7",Ciudad Autónoma de Buenos Aires,Quequen,"0.0002",True,
"5685",Soja,"2019","7",Ciudad Autónoma de Buenos Aires,Quequen,"0.00066",True,
"5686",Soja,"2015","8",Ciudad Autónoma de Buenos Aires,Quequen,"0.00216",True,
"5687",Soja,"2016","8",Ciudad Autónoma de Buenos Aires,Quequen,"0.000682",True,
"5688",Soja,"2017","8",Ciudad Autónoma de Buenos Aires,Quequen,"0.0003",True,
"5689",Soja,"2018","8",Ciudad Autónoma de Buenos Aires,Quequen,"0.00020141999999999998",True,
"5690",Soja,"2015","9",Ciudad Autónoma de Buenos Aires,Quequen,"0.00171452",True,
"5691",Soja,"2016","9",Ciudad Autónoma de Buenos Aires,Quequen,"0.007267",True,
"5692",Soja,"2017","9",Ciudad Autónoma de Buenos Aires,Quequen,"0.0037714899999999997",True,
"5693",Soja,"2018","9",Ciudad Autónoma de Buenos Aires,Quequen,"0.00057",True,
"5694",Soja,"2019","9",Ciudad Autónoma de Buenos Aires,Quequen,"0.0006",True,
"5695",Soja,"2015","10",Ciudad Autónoma de Buenos Aires,Quequen,"0.0016481",True,
"5696",Soja,"2016","10",Ciudad Autónoma de Buenos Aires,Quequen,"0.00068276",True,
"5697",Soja,"2017","10",Ciudad Autónoma de Buenos Aires,Quequen,"0.00062",True,
"5698",Soja,"2018","10",Ciudad Autónoma de Buenos Aires,Quequen,"0.000889",True,
"5699",Soja,"2019","10",Ciudad Autónoma de Buenos Aires,Quequen,"0.00159",True,
"5700",Soja,"2016","11",Ciudad Autónoma de Buenos Aires,Quequen,"0.00041867",True,
"5701",Soja,"2017","11",Ciudad Autónoma de Buenos Aires,Quequen,"0.0012242",True,
"5702",Soja,"2018","11",Ciudad Autónoma de Buenos Aires,Quequen,"0.00036",True,
"5703",Soja,"2019","11",Ciudad Autónoma de Buenos Aires,Quequen,"0.00505438",True,
"5704",Soja,"2016","12",Ciudad Autónoma de Buenos Aires,Quequen,"0.00705",True,
"5705",Soja,"2017","12",Ciudad Autónoma de Buenos Aires,Quequen,"0.0031689",True,
"5706",Soja,"2019","12",Ciudad Autónoma de Buenos Aires,Quequen,"0.0005",True,
"5707",Soja,"2016","1",Ciudad Autónoma de Buenos Aires,Rosario N,"0.009402",True,
"5708",Soja,"2017","1",Ciudad Autónoma de Buenos Aires,Rosario N,"0.023293",True,
"5709",Soja,"2018","1",Ciudad Autónoma de Buenos Aires,Rosario N,"0.019935",True,
"5710",Soja,"2019","1",Ciudad Autónoma de Buenos Aires,Rosario N,"0.030825",True,
"5711",Soja,"2020","1",Ciudad Autónoma de Buenos Aires,Rosario N,"0.03284",True,
"5712",Soja,"2015","2",Ciudad Autónoma de Buenos Aires,Rosario N,"0.00236",True,
"5713",Soja,"2016","2",Ciudad Autónoma de Buenos Aires,Rosario N,"0.090139",True,
"5714",Soja,"2017","2",Ciudad Autónoma de Buenos Aires,Rosario N,"0.021296",True,
"5715",Soja,"2018","2",Ciudad Autónoma de Buenos Aires,Rosario N,"0.05922938",True,
"5716",Soja,"2019","2",Ciudad Autónoma de Buenos Aires,Rosario N,"0.02383077",True,
"5717",Soja,"2020","2",Ciudad Autónoma de Buenos Aires,Rosario N,"0.01181",True,
"5718",Soja,"2015","3",Ciudad Autónoma de Buenos Aires,Rosario N,"0.00507",True,
"5719",Soja,"2016","3",Ciudad Autónoma de Buenos Aires,Rosario N,"0.02236722",True,
"5720",Soja,"2017","3",Ciudad Autónoma de Buenos Aires,Rosario N,"0.02173961",True,
"5721",Soja,"2018","3",Ciudad Autónoma de Buenos Aires,Rosario N,"0.11219022999999999",True,
"5722",Soja,"2019","3",Ciudad Autónoma de Buenos Aires,Rosario N,"0.05789701",True,
"5723",Soja,"2020","3",Ciudad Autónoma de Buenos Aires,Rosario N,"0.003",True,
"5724",Soja,"2015","4",Ciudad Autónoma de Buenos Aires,Rosario N,"7.519999999999999e-06",True,
"5725",Soja,"2016","4",Ciudad Autónoma de Buenos Aires,Rosario N,"0.033906",True,
"5726",Soja,"2017","4",Ciudad Autónoma de Buenos Aires,Rosario N,"0.03736688",True,
"5727",Soja,"2018","4",Ciudad Autónoma de Buenos Aires,Rosario N,"0.210855",True,
"5728",Soja,"2019","4",Ciudad Autónoma de Buenos Aires,Rosario N,"0.03686",True,
"5729",Soja,"2020","4",Ciudad Autónoma de Buenos Aires,Rosario N,"0.013764",True,
"5730",Soja,"2015","5",Ciudad Autónoma de Buenos Aires,Rosario N,"0.01581",True,
"5731",Soja,"2016","5",Ciudad Autónoma de Buenos Aires,Rosario N,"0.057534669999999996",True,
"5732",Soja,"2017","5",Ciudad Autónoma de Buenos Aires,Rosario N,"0.081438",True,
"5733",Soja,"2018","5",Ciudad Autónoma de Buenos Aires,Rosario N,"0.25112657",True,
"5734",Soja,"2019","5",Ciudad Autónoma de Buenos Aires,Rosario N,"0.19159",True,
"5735",Soja,"2020","5",Ciudad Autónoma de Buenos Aires,Rosario N,"0.083677",True,
"5736",Soja,"2015","6",Ciudad Autónoma de Buenos Aires,Rosario N,"0.00126",True,
"5737",Soja,"2016","6",Ciudad Autónoma de Buenos Aires,Rosario N,"0.035525",True,
"5738",Soja,"2017","6",Ciudad Autónoma de Buenos Aires,Rosario N,"0.01209039",True,
"5739",Soja,"2018","6",Ciudad Autónoma de Buenos Aires,Rosario N,"0.05038",True,
"5740",Soja,"2019","6",Ciudad Autónoma de Buenos Aires,Rosario N,"0.05606877",True,
"5741",Soja,"2020","6",Ciudad Autónoma de Buenos Aires,Rosario N,"0.001",True,
"5742",Soja,"2015","7",Ciudad Autónoma de Buenos Aires,Rosario N,"0.03859937",True,
"5743",Soja,"2016","7",Ciudad Autónoma de Buenos Aires,Rosario N,"0.02550455",True,
"5744",Soja,"2017","7",Ciudad Autónoma de Buenos Aires,Rosario N,"0.056905",True,
"5745",Soja,"2018","7",Ciudad Autónoma de Buenos Aires,Rosario N,"0.102767",True,
"5746",Soja,"2019","7",Ciudad Autónoma de Buenos Aires,Rosario N,"0.05138934",True,
"5747",Soja,"2020","7",Ciudad Autónoma de Buenos Aires,Rosario N,"0.006402",True,
"5748",Soja,"2015","8",Ciudad Autónoma de Buenos Aires,Rosario N,"0.094467",True,
"5749",Soja,"2016","8",Ciudad Autónoma de Buenos Aires,Rosario N,"0.015",True,
"5750",Soja,"2017","8",Ciudad Autónoma de Buenos Aires,Rosario N,"0.02120455",True,
"5751",Soja,"2018","8",Ciudad Autónoma de Buenos Aires,Rosario N,"0.083274",True,
"5752",Soja,"2019","8",Ciudad Autónoma de Buenos Aires,Rosario N,"0.007769819999999999",True,
"5753",Soja,"2015","9",Ciudad Autónoma de Buenos Aires,Rosario N,"0.09333096",True,
"5754",Soja,"2016","9",Ciudad Autónoma de Buenos Aires,Rosario N,"0.020515",True,
"5755",Soja,"2017","9",Ciudad Autónoma de Buenos Aires,Rosario N,"0.0466991",True,
"5756",Soja,"2018","9",Ciudad Autónoma de Buenos Aires,Rosario N,"0.18660736",True,
"5757",Soja,"2019","9",Ciudad Autónoma de Buenos Aires,Rosario N,"0.05854217",True,
"5758",Soja,"2020","9",Ciudad Autónoma de Buenos Aires,Rosario N,"0.0125",True,
"5759",Soja,"2015","10",Ciudad Autónoma de Buenos Aires,Rosario N,"0.047316",True,
"5760",Soja,"2016","10",Ciudad Autónoma de Buenos Aires,Rosario N,"0.032923",True,
"5761",Soja,"2017","10",Ciudad Autónoma de Buenos Aires,Rosario N,"0.04449253999999999",True,
"5762",Soja,"2018","10",Ciudad Autónoma de Buenos Aires,Rosario N,"0.15251047",True,
"5763",Soja,"2019","10",Ciudad Autónoma de Buenos Aires,Rosario N,"0.10226093",True,
"5764",Soja,"2020","10",Ciudad Autónoma de Buenos Aires,Rosario N,"0.0125",True,
"5765",Soja,"2015","11",Ciudad Autónoma de Buenos Aires,Rosario N,"0.10217569",True,
"5766",Soja,"2016","11",Ciudad Autónoma de Buenos Aires,Rosario N,"0.057553",True,
"5767",Soja,"2017","11",Ciudad Autónoma de Buenos Aires,Rosario N,"0.039443",True,
"5768",Soja,"2018","11",Ciudad Autónoma de Buenos Aires,Rosario N,"0.2039083",True,
"5769",Soja,"2019","11",Ciudad Autónoma de Buenos Aires,Rosario N,"0.14525934999999998",True,
"5770",Soja,"2020","11",Ciudad Autónoma de Buenos Aires,Rosario N,"0.025",True,
"5771",Soja,"2015","12",Ciudad Autónoma de Buenos Aires,Rosario N,"0.269123",True,
"5772",Soja,"2016","12",Ciudad Autónoma de Buenos Aires,Rosario N,"0.04930678",True,
"5773",Soja,"2017","12",Ciudad Autónoma de Buenos Aires,Rosario N,"0.0331932",True,
"5774",Soja,"2018","12",Ciudad Autónoma de Buenos Aires,Rosario N,"0.03252425",True,
"5775",Soja,"2019","12",Ciudad Autónoma de Buenos Aires,Rosario N,"0.06816696",True,
"5776",Soja,"2020","1",Ciudad Autónoma de Buenos Aires,Rosario S,"0.00121",True,
"5777",Soja,"2016","2",Ciudad Autónoma de Buenos Aires,Rosario S,"0.0002",True,
"5778",Soja,"2017","2",Ciudad Autónoma de Buenos Aires,Rosario S,"0.013975",True,
"5779",Soja,"2018","2",Ciudad Autónoma de Buenos Aires,Rosario S,"0.005943",True,
"5780",Soja,"2016","3",Ciudad Autónoma de Buenos Aires,Rosario S,"0.00357",True,
"5781",Soja,"2017","3",Ciudad Autónoma de Buenos Aires,Rosario S,"0.0020829",True,
"5782",Soja,"2018","3",Ciudad Autónoma de Buenos Aires,Rosario S,"0.00579",True,
"5783",Soja,"2019","3",Ciudad Autónoma de Buenos Aires,Rosario S,"0.0026",True,
"5784",Soja,"2016","4",Ciudad Autónoma de Buenos Aires,Rosario S,"0.01554",True,
"5785",Soja,"2018","4",Ciudad Autónoma de Buenos Aires,Rosario S,"0.01611",True,
"5786",Soja,"2019","4",Ciudad Autónoma de Buenos Aires,Rosario S,"0.04303",True,
"5787",Soja,"2020","4",Ciudad Autónoma de Buenos Aires,Rosario S,"0.00193",True,
"5788",Soja,"2016","5",Ciudad Autónoma de Buenos Aires,Rosario S,"0.020427",True,
"5789",Soja,"2018","5",Ciudad Autónoma de Buenos Aires,Rosario S,"0.01273",True,
"5790",Soja,"2019","5",Ciudad Autónoma de Buenos Aires,Rosario S,"0.03098",True,
"5791",Soja,"2020","5",Ciudad Autónoma de Buenos Aires,Rosario S,"0.032381",True,
"5792",Soja,"2015","6",Ciudad Autónoma de Buenos Aires,Rosario S,"0.00125",True,
"5793",Soja,"2016","6",Ciudad Autónoma de Buenos Aires,Rosario S,"0.00814",True,
"5794",Soja,"2017","6",Ciudad Autónoma de Buenos Aires,Rosario S,"0.00142544",True,
"5795",Soja,"2018","6",Ciudad Autónoma de Buenos Aires,Rosario S,"0.00271",True,
"5796",Soja,"2019","6",Ciudad Autónoma de Buenos Aires,Rosario S,"0.021",True,
"5797",Soja,"2015","7",Ciudad Autónoma de Buenos Aires,Rosario S,"0.03880239",True,
"5798",Soja,"2016","7",Ciudad Autónoma de Buenos Aires,Rosario S,"0.00029",True,
"5799",Soja,"2017","7",Ciudad Autónoma de Buenos Aires,Rosario S,"0.006973860000000002",True,
"5800",Soja,"2018","7",Ciudad Autónoma de Buenos Aires,Rosario S,"0.018499",True,
"5801",Soja,"2019","7",Ciudad Autónoma de Buenos Aires,Rosario S,"0.01512",True,
"5802",Soja,"2015","8",Ciudad Autónoma de Buenos Aires,Rosario S,"0.052133",True,
"5803",Soja,"2017","8",Ciudad Autónoma de Buenos Aires,Rosario S,"0.009547",True,
"5804",Soja,"2018","8",Ciudad Autónoma de Buenos Aires,Rosario S,"0.00269",True,
"5805",Soja,"2019","8",Ciudad Autónoma de Buenos Aires,Rosario S,"0.0081",True,
"5806",Soja,"2015","9",Ciudad Autónoma de Buenos Aires,Rosario S,"0.028495",True,
"5807",Soja,"2016","9",Ciudad Autónoma de Buenos Aires,Rosario S,"4e-05",True,
"5808",Soja,"2017","9",Ciudad Autónoma de Buenos Aires,Rosario S,"0.0035661300000000003",True,
"5809",Soja,"2018","9",Ciudad Autónoma de Buenos Aires,Rosario S,"0.0013418599999999998",True,
"5810",Soja,"2019","9",Ciudad Autónoma de Buenos Aires,Rosario S,"0.00945",True,
"5811",Soja,"2015","10",Ciudad Autónoma de Buenos Aires,Rosario S,"0.006745",True,
"5812",Soja,"2017","10",Ciudad Autónoma de Buenos Aires,Rosario S,"0.011855",True,
"5813",Soja,"2018","10",Ciudad Autónoma de Buenos Aires,Rosario S,"0.00768",True,
"5814",Soja,"2019","10",Ciudad Autónoma de Buenos Aires,Rosario S,"0.00661",True,
