,Año,Cantidad Transportada (MTn),Cultivo,Destino,Origen,Step From,Step To
90,2020,0.00014019,Maiz,Zona 18,Buenos Aires,0,1
91,2015,0.039738350000000006,Maiz,Zona 2,Buenos Aires,0,1
92,2016,0.06427138,Maiz,Zona 2,Buenos Aires,0,1
93,2017,0.06103626000000001,Maiz,Zona 2,Buenos Aires,0,1
94,2018,0.03580724,Maiz,Zona 2,Buenos Aires,0,1
95,2019,0.04360291,Maiz,Zona 2,Buenos Aires,0,1
96,2020,0.001154,Maiz,Zona 2,Buenos Aires,0,1
97,2015,0.023248150000000006,Maiz,Zona 3,Buenos Aires,0,1
98,2016,0.0639837,Maiz,Zona 3,Buenos Aires,0,1
99,2017,0.039271379999999995,Maiz,Zona 3,Buenos Aires,0,1
100,2018,0.042900629999999995,Maiz,Zona 3,Buenos Aires,0,1
101,2019,0.08144322999999998,Maiz,Zona 3,Buenos Aires,0,1
102,2020,0.025333380000000003,Maiz,Zona 3,Buenos Aires,0,1
103,2015,0.11228224000000003,Maiz,Zona 4,Buenos Aires,0,1
104,2016,0.11221840000000004,Maiz,Zona 4,Buenos Aires,0,1
105,2017,0.17235593,Maiz,Zona 4,Buenos Aires,0,1
106,2018,0.13234711999999998,Maiz,Zona 4,Buenos Aires,0,1
107,2019,0.13796372,Maiz,Zona 4,Buenos Aires,0,1
108,2020,0.0069873,Maiz,Zona 4,Buenos Aires,0,1
109,2015,0.6149081999999998,Maiz,Zona 5,Buenos Aires,0,1
110,2016,0.55269155,Maiz,Zona 5,Buenos Aires,0,1
111,2017,1.04384986,Maiz,Zona 5,Buenos Aires,0,1
112,2018,0.9106732200000002,Maiz,Zona 5,Buenos Aires,0,1
113,2019,1.0385394300000002,Maiz,Zona 5,Buenos Aires,0,1
114,2020,0.17846324,Maiz,Zona 5,Buenos Aires,0,1
115,2015,0.8215474700000001,Maiz,Zona 6,Buenos Aires,0,1
116,2016,0.8516017300000002,Maiz,Zona 6,Buenos Aires,0,1
117,2017,0.65461973,Maiz,Zona 6,Buenos Aires,0,1
118,2018,0.5981262100000001,Maiz,Zona 6,Buenos Aires,0,1
119,2019,0.8437431599999998,Maiz,Zona 6,Buenos Aires,0,1
120,2020,0.27416856,Maiz,Zona 6,Buenos Aires,0,1
121,2021,0.00072,Maiz,Zona 6,Buenos Aires,0,1
122,2015,0.7005618699999997,Maiz,Zona 7,Buenos Aires,0,1
123,2016,0.70567315,Maiz,Zona 7,Buenos Aires,0,1
124,2017,0.30833428999999996,Maiz,Zona 7,Buenos Aires,0,1
125,2018,0.20645832000000003,Maiz,Zona 7,Buenos Aires,0,1
126,2019,0.28126671,Maiz,Zona 7,Buenos Aires,0,1
127,2020,0.07331823,Maiz,Zona 7,Buenos Aires,0,1
128,2015,0.023525970000000007,Maiz,Zona 8,Buenos Aires,0,1
129,2016,0.023940140000000002,Maiz,Zona 8,Buenos Aires,0,1
130,2017,0.01935964,Maiz,Zona 8,Buenos Aires,0,1
131,2018,0.02819896,Maiz,Zona 8,Buenos Aires,0,1
132,2019,0.03186568000000001,Maiz,Zona 8,Buenos Aires,0,1
133,2020,0.0034,Maiz,Zona 8,Buenos Aires,0,1
134,2015,0.00771915,Maiz,Zona 9,Buenos Aires,0,1
135,2016,0.0035706899999999988,Maiz,Zona 9,Buenos Aires,0,1
136,2017,0.00268013,Maiz,Zona 9,Buenos Aires,0,1
137,2018,0.00262989,Maiz,Zona 9,Buenos Aires,0,1
138,2019,0.0112056,Maiz,Zona 9,Buenos Aires,0,1
139,2020,0.00018,Maiz,Zona 9,Buenos Aires,0,1
140,2015,1.9795737299999998,Soja,B.Blanca,Buenos Aires,0,1
141,2016,1.9175969200000005,Soja,B.Blanca,Buenos Aires,0,1
142,2017,1.4679502599999998,Soja,B.Blanca,Buenos Aires,0,1
143,2018,0.8437878899999999,Soja,B.Blanca,Buenos Aires,0,1
144,2019,1.8272748099999998,Soja,B.Blanca,Buenos Aires,0,1
145,2020,0.51371825,Soja,B.Blanca,Buenos Aires,0,1
146,2015,0.020795380000000002,Soja,Bs As,Buenos Aires,0,1
147,2016,0.016054330000000002,Soja,Bs As,Buenos Aires,0,1
148,2017,0.0169622,Soja,Bs As,Buenos Aires,0,1
149,2018,0.007613440000000001,Soja,Bs As,Buenos Aires,0,1
150,2019,0.0086557,Soja,Bs As,Buenos Aires,0,1
