,Provincia,Cultivo,LugarEntrega,Mes,Ano,CantTns,EsFinal,EleccionesNac,EleccionesPre,ProdTns,EstresClimatico,MismaProvDestino,ProvAlejada
57,BUENOS AIRES,Maiz,B.Blanca,10,2019.0,277983.01,True,True,True,16770895.0,True,True,False
58,BUENOS AIRES,Maiz,B.Blanca,10,2020.0,1000.0,True,False,False,,False,True,False
59,BUENOS AIRES,Maiz,B.Blanca,11,2015.0,46053.24,True,True,True,8893434.0,True,True,False
60,BUENOS AIRES,Maiz,B.Blanca,11,2016.0,154224.53,True,False,False,10147679.0,True,True,False
61,BUENOS AIRES,Maiz,B.Blanca,11,2017.0,119523.50000000004,True,True,False,12955509.0,True,True,False
62,BUENOS AIRES,Maiz,B.Blanca,11,2018.0,127996.16,True,False,False,12770903.0,True,True,False
63,BUENOS AIRES,Maiz,B.Blanca,11,2019.0,155606.32999999996,True,True,True,16770895.0,True,True,False
64,BUENOS AIRES,Maiz,B.Blanca,11,2020.0,270.0,True,False,False,,False,True,False
65,BUENOS AIRES,Maiz,B.Blanca,12,2015.0,43429.33,True,True,True,8893434.0,True,True,False
66,BUENOS AIRES,Maiz,B.Blanca,12,2016.0,128176.63000000002,True,False,False,10147679.0,True,True,False
67,BUENOS AIRES,Maiz,B.Blanca,12,2017.0,229564.00999999995,True,True,False,12955509.0,True,True,False
68,BUENOS AIRES,Maiz,B.Blanca,12,2018.0,77242.94,True,False,False,12770903.0,True,True,False
69,BUENOS AIRES,Maiz,B.Blanca,12,2019.0,220414.35000000006,True,True,True,16770895.0,True,True,False
70,BUENOS AIRES,Maiz,Bs As,1,2015.0,2654.33,True,True,True,8893434.0,True,True,False
71,BUENOS AIRES,Maiz,Bs As,1,2016.0,1678.13,True,False,False,10147679.0,True,True,False
72,BUENOS AIRES,Maiz,Bs As,1,2017.0,600.0,True,True,False,12955509.0,True,True,False
73,BUENOS AIRES,Maiz,Bs As,1,2018.0,299.43,True,False,False,12770903.0,True,True,False
74,BUENOS AIRES,Maiz,Bs As,1,2019.0,1290.0,True,True,True,16770895.0,True,True,False
75,BUENOS AIRES,Maiz,Bs As,2,2015.0,10607.99,True,True,True,8893434.0,True,True,False
76,BUENOS AIRES,Maiz,Bs As,2,2016.0,11401.619999999999,True,False,False,10147679.0,True,True,False
77,BUENOS AIRES,Maiz,Bs As,2,2017.0,5952.48,True,True,False,12955509.0,True,True,False
78,BUENOS AIRES,Maiz,Bs As,2,2018.0,5520.42,True,False,False,12770903.0,True,True,False
79,BUENOS AIRES,Maiz,Bs As,2,2019.0,8796.849999999999,True,True,True,16770895.0,True,True,False
80,BUENOS AIRES,Maiz,Bs As,3,2015.0,12818.66,True,True,True,8893434.0,True,True,False
81,BUENOS AIRES,Maiz,Bs As,3,2016.0,10039.39,True,False,False,10147679.0,True,True,False
82,BUENOS AIRES,Maiz,Bs As,3,2017.0,12609.94,True,True,False,12955509.0,True,True,False
83,BUENOS AIRES,Maiz,Bs As,3,2018.0,53700.74,True,False,False,12770903.0,True,True,False
84,BUENOS AIRES,Maiz,Bs As,3,2019.0,8007.83,True,True,True,16770895.0,True,True,False
85,BUENOS AIRES,Maiz,Bs As,3,2020.0,420.0,True,False,False,,False,True,False
86,BUENOS AIRES,Maiz,Bs As,4,2015.0,19849.27,True,True,True,8893434.0,True,True,False
87,BUENOS AIRES,Maiz,Bs As,4,2016.0,11206.689999999999,True,False,False,10147679.0,True,True,False
88,BUENOS AIRES,Maiz,Bs As,4,2017.0,8986.26,True,True,False,12955509.0,True,True,False
89,BUENOS AIRES,Maiz,Bs As,4,2018.0,7715.0,True,False,False,12770903.0,True,True,False
90,BUENOS AIRES,Maiz,Bs As,4,2019.0,5592.92,True,True,True,16770895.0,True,True,False
91,BUENOS AIRES,Maiz,Bs As,4,2020.0,1410.0,True,False,False,,False,True,False
92,BUENOS AIRES,Maiz,Bs As,5,2015.0,11080.0,True,True,True,8893434.0,True,True,False
93,BUENOS AIRES,Maiz,Bs As,5,2016.0,9108.99,True,False,False,10147679.0,True,True,False
94,BUENOS AIRES,Maiz,Bs As,5,2017.0,11625.680000000002,True,True,False,12955509.0,True,True,False
95,BUENOS AIRES,Maiz,Bs As,5,2018.0,3739.49,True,False,False,12770903.0,True,True,False
96,BUENOS AIRES,Maiz,Bs As,5,2019.0,7980.5,True,True,True,16770895.0,True,True,False
97,BUENOS AIRES,Maiz,Bs As,6,2015.0,79611.65000000001,True,True,True,8893434.0,True,True,False
98,BUENOS AIRES,Maiz,Bs As,6,2016.0,7856.99,True,False,False,10147679.0,True,True,False
99,BUENOS AIRES,Maiz,Bs As,6,2017.0,23265.0,True,True,False,12955509.0,True,True,False
100,BUENOS AIRES,Maiz,Bs As,6,2018.0,8310.0,True,False,False,12770903.0,True,True,False
101,BUENOS AIRES,Maiz,Bs As,6,2019.0,10192.46,True,True,True,16770895.0,True,True,False
102,BUENOS AIRES,Maiz,Bs As,7,2015.0,10599.59,True,True,True,8893434.0,True,True,False
103,BUENOS AIRES,Maiz,Bs As,7,2016.0,8328.32,True,False,False,10147679.0,True,True,False
104,BUENOS AIRES,Maiz,Bs As,7,2017.0,10319.16,True,True,False,12955509.0,True,True,False
105,BUENOS AIRES,Maiz,Bs As,7,2018.0,9808.589999999998,True,False,False,12770903.0,True,True,False
106,BUENOS AIRES,Maiz,Bs As,7,2019.0,8875.15,True,True,True,16770895.0,True,True,False
107,BUENOS AIRES,Maiz,Bs As,8,2015.0,9882.73,True,True,True,8893434.0,True,True,False
108,BUENOS AIRES,Maiz,Bs As,8,2016.0,7573.16,True,False,False,10147679.0,True,True,False
109,BUENOS AIRES,Maiz,Bs As,8,2017.0,10951.599999999999,True,True,False,12955509.0,True,True,False
110,BUENOS AIRES,Maiz,Bs As,8,2018.0,7790.06,True,False,False,12770903.0,True,True,False
111,BUENOS AIRES,Maiz,Bs As,8,2019.0,5882.27,True,True,True,16770895.0,True,True,False
112,BUENOS AIRES,Maiz,Bs As,9,2015.0,7030.0,True,True,True,8893434.0,True,True,False
113,BUENOS AIRES,Maiz,Bs As,9,2016.0,10448.19,True,False,False,10147679.0,True,True,False
114,BUENOS AIRES,Maiz,Bs As,9,2017.0,12987.89,True,True,False,12955509.0,True,True,False
